FR ID,Requirement summary,Module,Priority,Test Case ID,Status,Tester,Date
FR-ANL-05,Flagged Anomalies screen with stat cards and table,ANL,M,,,,
FR-ANL-06,Export CSV on Analytics and Flagged Anomalies,ANL,S,,,,
FR-ANL-07,Analytics compute from encoded records only,ANL,M,,,,
FR-ANL-08,Cases by Medical System horizontal bar chart,ANL,M,,,,
FR-HW-01,MCU streams combined reading line over USB serial,HW,M,,,,
FR-HW-02,Kiosk reads MCU via Web Serial in secure context,HW,M,,,,
FR-HW-03,"Sensors: ultrasonic, load cell, IR temp, serial BP",HW,M,,,,
FR-HW-04,Week-1 spike validates Web Serial and BP serial,HW,M,,,,
FR-HW-05,Kiosk handles serial disconnect/reconnect without reload,HW,S,,,,
FR-HW-06,Physical enclosure mounts all hardware with one power feed,HW,S,,,,
FR-HW-07,Defense-day kit with spares and manual-entry drill,HW,S,,,,
